Item_Id,Item_Visibility,Store_Id,Item_Store_Sales,Item_Fit_Type,Item_Fabric,Item_Fabric_Amount,Item_MRP,Store_Establishment_Year,Store_Size,Store_Location_Type,Store_Type
TSH15,0.016047301,STR049,3735138.0,Oversize,Linen,9.3,249.8092,1999,Medium,Region 1,Mall Type1
BLS15,0.016760075,STR049,2097.27,Oversize,Chiffon,17.5,141618.0,1999,Medium,Region 1,Mall Type1
CRD19,0.0,STR049,552614.0,Oversize,Denim,8.93,53.8614,1999,Medium,Region 1,Mall Type1
JCK10,0.128289285,STR049,1164.4842,Oversize,Organza,,107.7622,1999,Medium,Region 1,Mall Type1
OCT17,0.016679232,STR049,2740.4328,Regular,Velvet,16.2,96.9726,1999,Medium,Region 1,Mall Type1
HDJ07,0.0,STR049,1516.0266,Oversize,Lace,11.8,45.5402,1999,Medium,Region 1,Mall Type1
TSH03,0.045534457,STR049,3645255.0,Regular,Linen,18.5,144.1102,1999,Medium,Region 1,Mall Type1
PRK46,0.047330801,STR049,2621.9204,Regular,Organza,17.6,119.6782,1999,Medium,Region 1,Mall Type1
JCK49,0.069196376,STR049,718.3982,Regular,Silk,9.0,56.3614,1999,Medium,Region 1,Mall Type1
TCT02,0.102670882,STR049,3435528.0,Oversize,Linen,13.35,113.2834,1999,Medium,Region 1,Mall Type1
DRS12,0.035627489,STR049,870.8664,Regular,Cotton,,250.8724,1999,Medium,Region 1,Mall Type1
VST30,0.025742955,STR049,4761.8016,Oversize,Denim,14.6,144.5444,1999,Medium,Region 1,Mall Type1
SKT37,0.032924463,STR049,2143876.0,Oversize,Cotton,,196.5084,1999,Medium,Region 1,Mall Type1
PNT28,0.025936747,STR049,2609936.0,Regular,Velvet,13.85,107.6938,1999,Medium,Region 1,Mall Type1
CRD06,0.099479703,STR049,652484.0,Oversize,Denim,13.0,165021.0,1999,Medium,Region 1,Mall Type1
SHT59,0.019402371,STR049,579246.0,Oversize,Satin,11.65,42.3112,1999,Medium,Region 1,Mall Type1
SKT14,0.041313203,STR049,377.5086,Regular,Wool,,45.5086,1999,Medium,Region 1,Mall Type1
JNS38,0.101932076,STR049,764.3384,Oversize,Linen,19.25,43.6454,1999,Medium,Region 1,Mall Type1
LGS17,0.080626601,STR049,378.1744,Oversize,Crepe,18.6,55.7956,1999,Medium,Region 1,Mall Type1
PJB29,0.089291137,STR049,3791.0652,Oversize,Crepe,10.0,174.8738,1999,Medium,Region 1,Mall Type1
JNS20,0.059894378,STR049,2797.6916,Regular,Lace,,146.7102,1999,Medium,Region 1,Mall Type1
PJS11,0.112840108,STR049,1238388.0,Regular,Cashmere,8.85,128.0678,1999,Medium,Region 1,Mall Type1
FDB34,0.026651184,STR049,1657.1762,Oversize,Organza,,36.9874,1999,Medium,Region 1,Mall Type1
FDK43,0.026882496,STR049,3036048.0,Oversize,Chiffon,9.8,87.6198,1999,Medium,Region 1,Mall Type1
TSH46,0.117818348,STR049,2527.3768,Oversize,Organza,13.6,230.6352,1999,Medium,Region 1,Mall Type1
FDL50,0.042378864,STR049,1867569.0,Regular,Wool,12.15,192.9136,1999,Medium,Region 1,Mall Type1
FDM39,0.053553794,STR049,3582004.0,Basic,Linen,6.42,259.9278,1999,Medium,Region 1,Mall Type1
NCP05,0.025325897,STR049,3795.06,Oversize,Crepe,19.6,126.5046,1999,Medium,Region 1,Mall Type1
JNS49,0.025867353,STR049,4757.8068,Oversize,Wool,10.0,178.1002,1999,Medium,Region 1,Mall Type1
PRK02,0.146094132,STR049,2926191.0,Regular,Linen,,265.2226,1999,Medium,Region 1,Mall Type1
