Item_Id,Item_Visibility,Store_Id,Item_Store_Sales,Item_Fit_Type,Item_Fabric,Item_Fabric_Amount,Item_MRP,Store_Establishment_Year,Store_Size,Store_Location_Type,Store_Type
1452,0.016047301,9,3735138.0,1,8,9.3,249.8092,1999,1,0,1
46,0.016760075,9,2097.27,1,1,17.5,141618.0,1999,1,0,1
158,0.0,9,552614.0,1,4,8.93,53.8614,1999,1,0,1
816,0.128289285,9,1164.4842,1,9,1279.8732420559377,107.7622,1999,1,0,1
1177,0.016679232,9,2740.4328,2,14,16.2,96.9726,1999,1,0,1
765,0.0,9,1516.0266,1,7,11.8,45.5402,1999,1,0,1
1443,0.045534457,9,3645255.0,2,8,18.5,144.1102,1999,1,0,1
1302,0.047330801,9,2621.9204,2,9,17.6,119.6782,1999,1,0,1
845,0.069196376,9,718.3982,2,12,9.0,56.3614,1999,1,0,1
1392,0.102670882,9,3435528.0,1,8,13.35,113.2834,1999,1,0,1
270,0.035627489,9,870.8664,2,2,1279.8732420559377,250.8724,1999,1,0,1
1491,0.025742955,9,4761.8016,1,4,14.6,144.5444,1999,1,0,1
1359,0.032924463,9,2143876.0,1,2,1279.8732420559377,196.5084,1999,1,0,1
1241,0.025936747,9,2609936.0,2,14,13.85,107.6938,1999,1,0,1
155,0.099479703,9,652484.0,1,4,13.0,165021.0,1999,1,0,1
1335,0.019402371,9,579246.0,1,11,11.65,42.3112,1999,1,0,1
1344,0.041313203,9,377.5086,2,15,1279.8732420559377,45.5086,1999,1,0,1
884,0.101932076,9,764.3384,1,8,19.25,43.6454,1999,1,0,1
905,0.080626601,9,378.1744,1,3,18.6,55.7956,1999,1,0,1
1210,0.089291137,9,3791.0652,1,3,10.0,174.8738,1999,1,0,1
868,0.059894378,9,2797.6916,2,7,1279.8732420559377,146.7102,1999,1,0,1
1216,0.112840108,9,1238388.0,2,0,8.85,128.0678,1999,1,0,1
335,0.026651184,9,1657.1762,1,9,1279.8732420559377,36.9874,1999,1,0,1
532,0.026882496,9,3036048.0,1,1,9.8,87.6198,1999,1,0,1
1476,0.117818348,9,2527.3768,1,9,13.6,230.6352,1999,1,0,1
576,0.042378864,9,1867569.0,2,15,12.15,192.9136,1999,1,0,1
